effporosity	Vshale		Class(Shale=1,SS=0)
1.16	,	95.32	,	1
1.55	,	93.64	,	1
1.94	,	91.97	,	1
2.33	,	90.3	,	1
2.34	,	90.27	,	1
2.18	,	90.93	,	1
2.02	,	91.6	,	1
1.87	,	92.26	,	1
1.94	,	91.91	,	1
2.28	,	90.44	,	1
2.62	,	88.96	,	1
2.96	,	87.47	,	1
3.09	,	86.89	,	1
2.57	,	89.1	,	1
2.06	,	91.31	,	1
1.55	,	93.53	,	1
1.04	,	95.72	,	1
0.88	,	96.39	,	1
0.72	,	97.06	,	1
0.56	,	97.73	,	1
0.4	,	98.4	,	1
0.35	,	98.58	,	1
0.34	,	98.63	,	1
0.33	,	98.69	,	1
0.31	,	98.75	,	1
0.31	,	98.76	,	1
0.31	,	98.73	,	1
0.32	,	98.71	,	1
0.32	,	98.69	,	1
0.33	,	98.67	,	1
0.33	,	98.67	,	1
0.33	,	98.66	,	1
0.33	,	98.66	,	1
0.34	,	98.61	,	1
0.42	,	98.26	,	1
0.5	,	97.91	,	1
0.59	,	97.56	,	1
0.67	,	97.21	,	1
0.78	,	96.7	,	1
0.9	,	96.18	,	1
1.02	,	95.65	,	1
1.14	,	95.12	,	1
3.19	,	85.11	,	1
6.14	,	70.66	,	1
9.1	,	56.21	,	1
12.05	,	41.75	,	0
14.07	,	31.5	,	0
14.98	,	26.22	,	0
15.9	,	20.93	,	0
16.82	,	15.66	,	0
17.19	,	13.43	,	0
15.82	,	20.99	,	0
14.46	,	28.55	,	0
13.09	,	36.09	,	0
11.71	,	43.7	,	0
9.1	,	56.37	,	1
6.48	,	69.07	,	1
3.85	,	81.78	,	1
1.23	,	94.5	,	1
0.6	,	97.49	,	1
0.5	,	97.92	,	1
0.39	,	98.36	,	1
0.29	,	98.8	,	1
0.58	,	97.47	,	1
1.18	,	94.82	,	1
1.78	,	92.17	,	1
2.38	,	89.51	,	1
3.75	,	82.66	,	1
6.57	,	67.96	,	1
9.38	,	53.25	,	1
12.2	,	38.55	,	0
14.23	,	27.89	,	0
10.88	,	44.97	,	0
7.53	,	62.05	,	1
4.18	,	79.13	,	1
0.83	,	96.21	,	1
1.16	,	94.82	,	1
1.86	,	91.53	,	1
2.57	,	88.25	,	1
3.27	,	84.98	,	1
3.1	,	85.77	,	1
2.53	,	88.42	,	1
1.96	,	91.06	,	1
1.39	,	93.69	,	1
1	,	95.49	,	1
0.82	,	96.32	,	1
0.64	,	97.16	,	1
0.45	,	98	,	1
0.31	,	98.65	,	1
0.3	,	98.7	,	1
0.29	,	98.76	,	1
0.27	,	98.81	,	1
0.26	,	98.87	,	1
0.21	,	99.1	,	1
0.16	,	99.33	,	1
0.1	,	99.55	,	1
0.05	,	99.78	,	1
0.11	,	99.52	,	1
0.2	,	99.14	,	1
0.29	,	98.76	,	1
0.37	,	98.38	,	1
0.5	,	97.8	,	1
0.66	,	97.05	,	1
0.83	,	96.3	,	1
0.99	,	95.54	,	1
1.16	,	94.68	,	1
1.35	,	93.63	,	1
1.54	,	92.57	,	1
1.73	,	91.51	,	1
2.41	,	87.94	,	1
6	,	69.26	,	1
9.59	,	50.59	,	1
13.18	,	31.93	,	0
16.76	,	13.26	,	0
17	,	11	,	0
16.96	,	10.11	,	0
16.91	,	9.22	,	0
16.87	,	8.33	,	0
16.84	,	8.09	,	0
16.82	,	8.13	,	0
16.79	,	8.17	,	0
16.77	,	8.2	,	0
16.73	,	7.96	,	0
16.68	,	7.43	,	0
16.64	,	6.9	,	0
16.59	,	6.38	,	0
16.54	,	6	,	0
16.48	,	6.05	,	0
16.42	,	6.1	,	0
16.36	,	6.15	,	0
3.55	,	83.4	,	1
3.04	,	85.47	,	1
2.53	,	87.54	,	1
2.02	,	89.61	,	1
7.82	,	63.38	,	1
13.74	,	36.63	,	0
19.66	,	9.87	,	0
14.31	,	34.46	,	0
7.93	,	63.73	,	1
1.55	,	93	,	1
0.54	,	97.61	,	1
0.47	,	97.9	,	1
0.4	,	98.18	,	1
1.72	,	92.04	,	1
3.42	,	84.14	,	1
5.12	,	76.24	,	1
5.26	,	75.48	,	1
4.78	,	77.5	,	1
4.31	,	79.52	,	1
4.41	,	78.88	,	1
4.82	,	76.85	,	1
5.22	,	74.81	,	1
4.87	,	76.55	,	1
4	,	80.91	,	1
3.12	,	85.27	,	1
2.33	,	89.13	,	1
1.62	,	92.53	,	1
0.9	,	95.92	,	1
0.79	,	96.47	,	1
1.4	,	93.66	,	1
2.01	,	90.85	,	1
3.36	,	84.03	,	1
5.87	,	71.04	,	1
8.37	,	58.05	,	1
9.86	,	50.37	,	1
9.24	,	53.53	,	1
8.62	,	56.69	,	1
8.29	,	58.95	,	1
8.72	,	58.69	,	1
9.15	,	58.43	,	1
9.14	,	59.72	,	1
7.34	,	67.28	,	1
5.54	,	74.83	,	1
3.95	,	81.51	,	1
3.72	,	82.48	,	1
3.48	,	83.45	,	1
3.25	,	84.43	,	1
2.97	,	85.6	,	1
2.68	,	86.76	,	1
2.4	,	87.93	,	1
2.49	,	87.16	,	1
2.57	,	86.39	,	1
2.66	,	85.63	,	1
3.25	,	82.92	,	1
3.89	,	80.07	,	1
4.52	,	77.23	,	1
7.46	,	63.88	,	1
10.75	,	48.97	,	0
14.03	,	34.07	,	0
13.54	,	36.16	,	0
12.13	,	42.35	,	0
10.72	,	48.53	,	0
10.29	,	49.94	,	0
10.21	,	49.67	,	0
10.13	,	49.4	,	0
7.93	,	60.24	,	1
4.72	,	76.41	,	1
1.5	,	92.58	,	1
0.27	,	98.77	,	1
0.3	,	98.58	,	1
0.32	,	98.39	,	1
0.34	,	98.3	,	1
0.34	,	98.3	,	1
0.35	,	98.3	,	1
1.91	,	91.02	,	1
5.17	,	75.85	,	1
8.43	,	60.69	,	1
9.18	,	57.21	,	1
6.4	,	70.22	,	1
3.62	,	83.24	,	1
1.87	,	91.38	,	1
2.08	,	90.44	,	1
2.28	,	89.5	,	1
2.3	,	89.39	,	1
1.88	,	91.38	,	1
1.46	,	93.37	,	1
1.45	,	93.44	,	1
2.86	,	86.63	,	1
4.27	,	79.82	,	1
5.32	,	74.67	,	1
4.36	,	78.72	,	1
3.39	,	82.76	,	1
2.71	,	85.44	,	1
4.97	,	73.94	,	1
7.23	,	62.44	,	1
9.39	,	51.42	,	1
7.66	,	61.02	,	1
5.93	,	70.63	,	1
4.2	,	80.24	,	1
3.2	,	84.95	,	1
2.23	,	89.45	,	1
1.26	,	93.94	,	1
2.02	,	89.88	,	1
2.99	,	84.79	,	1
3.96	,	79.7	,	1
3.32	,	82.97	,	1
2.34	,	88	,	1
1.36	,	93.03	,	1
1.39	,	92.88	,	1
1.75	,	91.1	,	1
2.1	,	89.33	,	1
2.32	,	87.74	,	1
2.47	,	86.23	,	1
2.63	,	84.72	,	1
2.42	,	86.21	,	1
1.99	,	89.44	,	1
1.56	,	92.67	,	1
1.2	,	94.78	,	1
0.89	,	96.03	,	1
0.58	,	97.27	,	1
0.41	,	97.96	,	1
0.38	,	98.11	,	1
0.35	,	98.26	,	1
1.48	,	91.81	,	1
4.11	,	76.79	,	1
6.73	,	61.76	,	1
7.54	,	57.17	,	1
5.24	,	70.35	,	1
2.93	,	83.54	,	1
1.24	,	93.26	,	1
0.92	,	95.07	,	1
0.6	,	96.88	,	1
0.41	,	98.02	,	1
0.61	,	97.01	,	1
0.81	,	96	,	1
1.99	,	90.04	,	1
7.82	,	60.54	,	1
13.65	,	31.03	,	0
18.71	,	5.44	,	0
17.47	,	11.98	,	0
16.22	,	18.52	,	0
14.99	,	24.92	,	0
14.07	,	28.04	,	0
13.16	,	31.17	,	0
12.24	,	34.3	,	0
9.86	,	46.28	,	1
7.44	,	58.45	,	1
5.02	,	70.62	,	1
3.6	,	78.87	,	1
2.27	,	86.75	,	1
0.95	,	94.62	,	1
1.16	,	93.28	,	1
1.65	,	90.27	,	1
2.14	,	87.27	,	1
2.96	,	83.29	,	1
3.88	,	79.03	,	1
4.79	,	74.78	,	1
3.91	,	79.5	,	1
2.33	,	87.76	,	1
0.75	,	96.03	,	1
0.34	,	98.1	,	1
0.56	,	96.87	,	1
0.78	,	95.64	,	1
1.32	,	92.72	,	1
2.09	,	88.62	,	1
2.86	,	84.52	,	1
3.17	,	82.69	,	1
3.07	,	82.96	,	1
2.97	,	83.22	,	1
2.6	,	85.15	,	1
1.93	,	89.08	,	1
1.25	,	93	,	1
0.97	,	94.44	,	1
1.31	,	91.99	,	1
1.66	,	89.53	,	1
1.8	,	88.58	,	1
1.51	,	90.74	,	1
1.22	,	92.9	,	1
0.94	,	94.86	,	1
0.69	,	96.23	,	1
0.44	,	97.6	,	1
0.22	,	98.77	,	1
0.16	,	99.12	,	1
0.1	,	99.48	,	1
0.04	,	99.79	,	1
0.03	,	99.82	,	1
0.03	,	99.85	,	1
0.03	,	99.87	,	1
0.07	,	99.62	,	1
0.12	,	99.38	,	1
0.16	,	99.14	,	1
5.06	,	76.78	,	1
9.97	,	54.38	,	1
14.88	,	31.99	,	0
10.62	,	51.45	,	0
5.7	,	73.9	,	1
0.79	,	96.36	,	1
0.14	,	99.29	,	1
0.14	,	99.26	,	1
0.14	,	99.22	,	1
0.18	,	99	,	1
0.23	,	98.73	,	1
0.28	,	98.47	,	1
2.01	,	88.7	,	1
4.33	,	75.55	,	1
6.65	,	62.4	,	1
8.12	,	53.56	,	1
9.19	,	46.82	,	1
10.25	,	40.08	,	0
10.2	,	40.16	,	0
9.43	,	44.66	,	1
8.65	,	49.16	,	1
9.26	,	46.99	,	1
11.04	,	39.15	,	0
12.82	,	31.32	,	0
11.65	,	38.3	,	0
7.25	,	61.57	,	1
2.85	,	84.83	,	1
2.25	,	87.42	,	1
7.13	,	60.35	,	1
12	,	33.29	,	0
14.76	,	16.22	,	0
13.52	,	18.08	,	0
12.29	,	19.93	,	0
10.48	,	27.65	,	0
7.19	,	50.39	,	1
3.9	,	73.14	,	1
1.23	,	91.57	,	1
0.84	,	94.27	,	1
0.46	,	96.97	,	1
0.13	,	99.23	,	1
0.16	,	98.98	,	1
0.19	,	98.74	,	1
0.29	,	98.14	,	1
1.04	,	93.64	,	1
1.79	,	89.13	,	1
2.52	,	84.74	,	1
2.28	,	86.15	,	1
2.04	,	87.56	,	1
1.8	,	88.98	,	1
2	,	87.81	,	1
2.23	,	86.53	,	1
2.45	,	85.24	,	1
1.77	,	89.34	,	1
0.98	,	94.11	,	1
0.19	,	98.88	,	1
0.1	,	99.35	,	1
0.17	,	98.89	,	1
0.23	,	98.43	,	1
0.21	,	98.6	,	1
0.16	,	98.96	,	1
0.11	,	99.32	,	1
0.2	,	98.86	,	1
0.34	,	98.04	,	1
0.48	,	97.22	,	1
1.12	,	93.39	,	1
2.06	,	87.79	,	1
3	,	82.19	,	1
4.76	,	71.88	,	1
7.16	,	57.89	,	1
9.56	,	43.91	,	1
9.47	,	44.32	,	1
6.88	,	59.32	,	1
4.29	,	74.31	,	1
2.46	,	85.06	,	1
1.61	,	90.2	,	1
0.76	,	95.35	,	1
0.49	,	97.16	,	1
1.2	,	93.19	,	1
